"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Info"
"625","0.000269","127.0.0.1","127.0.0.1","TCP","152","0.000073000","59090  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440319102 TSecr=1440319102 [TCP segment of a reassembled PDU]"
"639","0.000483","127.0.0.1","127.0.0.1","TCP","159","0.000295000","59091  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440319102 TSecr=1440319102 [TCP segment of a reassembled PDU]"
"647","0.000235","127.0.0.1","127.0.0.1","TCP","157","0.000049000","59092  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440319103 TSecr=1440319103 [TCP segment of a reassembled PDU]"
"657","0.000205","127.0.0.1","127.0.0.1","TCP","150","0.000034000","59093  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440319103 TSecr=1440319103 [TCP segment of a reassembled PDU]"
"667","0.000172","127.0.0.1","127.0.0.1","TCP","185","0.000037000","59094  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=129 TSval=1440319103 TSecr=1440319103 [TCP segment of a reassembled PDU]"
"677","0.000293","127.0.0.1","127.0.0.1","TCP","148","0.000054000","59095  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=92 TSval=1440319103 TSecr=1440319103"
"686","0.000182","127.0.0.1","127.0.0.1","TCP","151","0.000038000","59096  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440319103 TSecr=1440319103"
"697","0.000253","127.0.0.1","127.0.0.1","TCP","145","0.000095000","59097  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440319104 TSecr=1440319104"
"707","0.000209","127.0.0.1","127.0.0.1","TCP","151","0.000039000","59098  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440319104 TSecr=1440319104"
"717","0.000178","127.0.0.1","127.0.0.1","TCP","160","0.000052000","59099  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440319104 TSecr=1440319104"
"727","0.000233","127.0.0.1","127.0.0.1","TCP","158","0.000043000","59100  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440319104 TSecr=1440319104"
"737","0.000221","127.0.0.1","127.0.0.1","TCP","149","0.000048000","59101  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=93 TSval=1440319104 TSecr=1440319104"
"747","0.000199","127.0.0.1","127.0.0.1","TCP","184","0.000038000","59102  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=128 TSval=1440319105 TSecr=1440319105"
"757","7.589899","127.0.0.1","127.0.0.1","TCP","150","0.000404000","59103  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440326673 TSecr=1440326673 [TCP segment of a reassembled PDU]"
"766","0.000293","127.0.0.1","127.0.0.1","TCP","146","0.000058000","59104  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=90 TSval=1440326673 TSecr=1440326673 [TCP segment of a reassembled PDU]"
"777","0.000262","127.0.0.1","127.0.0.1","TCP","152","0.000111000","59105  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440326674 TSecr=1440326674 [TCP segment of a reassembled PDU]"
"787","0.000392","127.0.0.1","127.0.0.1","TCP","159","0.000195000","59106  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440326674 TSecr=1440326674 [TCP segment of a reassembled PDU]"
"797","0.000334","127.0.0.1","127.0.0.1","TCP","157","0.000120000","59107  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440326674 TSecr=1440326674 [TCP segment of a reassembled PDU]"
"809","0.000311","127.0.0.1","127.0.0.1","TCP","150","0.000139000","59108  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440326675 TSecr=1440326675 [TCP segment of a reassembled PDU]"
"817","0.000195","127.0.0.1","127.0.0.1","TCP","185","0.000052000","59109  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=129 TSval=1440326675 TSecr=1440326675 [TCP segment of a reassembled PDU]"
"827","0.000181","127.0.0.1","127.0.0.1","TCP","156","0.000037000","59110  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=100 TSval=1440326675 TSecr=1440326675 [TCP segment of a reassembled PDU]"
"837","0.000381","127.0.0.1","127.0.0.1","TCP","151","0.000057000","59111  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440326675 TSecr=1440326675"
"847","0.000224","127.0.0.1","127.0.0.1","TCP","145","0.000041000","59112  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1440326676 TSecr=1440326676"
"859","0.000328","127.0.0.1","127.0.0.1","TCP","151","0.000145000","59113  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440326676 TSecr=1440326676"
"867","0.000179","127.0.0.1","127.0.0.1","TCP","160","0.000044000","59114  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440326676 TSecr=1440326676"
"877","0.000179","127.0.0.1","127.0.0.1","TCP","158","0.000043000","59115  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440326676 TSecr=1440326676"
"887","0.000226","127.0.0.1","127.0.0.1","TCP","149","0.000052000","59116  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=93 TSval=1440326677 TSecr=1440326677"
"897","0.000198","127.0.0.1","127.0.0.1","TCP","184","0.000047000","59117  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=128 TSval=1440326677 TSecr=1440326677"
"907","0.000226","127.0.0.1","127.0.0.1","TCP","155","0.000057000","59118  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=99 TSval=1440326677 TSecr=1440326677"
"917","9.302291","127.0.0.1","127.0.0.1","TCP","151","0.000195000","59119  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=95 TSval=1440335970 TSecr=1440335970"
"926","0.000285","127.0.0.1","127.0.0.1","TCP","160","0.000067000","59120  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440335970 TSecr=1440335970"
"935","0.000206","127.0.0.1","127.0.0.1","TCP","158","0.000049000","59121  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440335970 TSecr=1440335970"
"949","0.000349","127.0.0.1","127.0.0.1","TCP","149","0.000203000","59122  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=93 TSval=1440335971 TSecr=1440335971"
"957","0.000307","127.0.0.1","127.0.0.1","TCP","184","0.000109000","59123  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=128 TSval=1440335971 TSecr=1440335971"
"969","0.000302","127.0.0.1","127.0.0.1","TCP","155","0.000133000","59124  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=99 TSval=1440335971 TSecr=1440335971"
"977","0.000257","127.0.0.1","127.0.0.1","TCP","163","0.000044000","59125  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=107 TSval=1440335972 TSecr=1440335972"
"987","0.000375","127.0.0.1","127.0.0.1","TCP","152","0.000056000","59126  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=96 TSval=1440335972 TSecr=1440335972 [TCP segment of a reassembled PDU]"
"997","0.000258","127.0.0.1","127.0.0.1","TCP","159","0.000063000","59127  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440335972 TSecr=1440335972 [TCP segment of a reassembled PDU]"
"1007","0.000221","127.0.0.1","127.0.0.1","TCP","157","0.000051000","59128  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440335973 TSecr=1440335972 [TCP segment of a reassembled PDU]"
"1017","0.000301","127.0.0.1","127.0.0.1","TCP","150","0.000056000","59129  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440335973 TSecr=1440335973 [TCP segment of a reassembled PDU]"
"1027","0.000242","127.0.0.1","127.0.0.1","TCP","185","0.000043000","59130  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=129 TSval=1440335973 TSecr=1440335973 [TCP segment of a reassembled PDU]"
"1037","0.000196","127.0.0.1","127.0.0.1","TCP","156","0.000042000","59131  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=100 TSval=1440335973 TSecr=1440335973 [TCP segment of a reassembled PDU]"
"1047","0.000211","127.0.0.1","127.0.0.1","TCP","162","0.000044000","59132  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=106 TSval=1440335973 TSecr=1440335973 [TCP segment of a reassembled PDU]"
"1057","7.267340","127.0.0.1","127.0.0.1","TCP","159","0.000074000","59133  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440343214 TSecr=1440343214 [TCP segment of a reassembled PDU]"
"1069","0.000454","127.0.0.1","127.0.0.1","TCP","157","0.000265000","59134  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440343214 TSecr=1440343214 [TCP segment of a reassembled PDU]"
"1077","0.000264","127.0.0.1","127.0.0.1","TCP","150","0.000037000","59135  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440343214 TSecr=1440343214 [TCP segment of a reassembled PDU]"
"1089","0.000352","127.0.0.1","127.0.0.1","TCP","185","0.000181000","59136  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=129 TSval=1440343215 TSecr=1440343215 [TCP segment of a reassembled PDU]"
"1098","0.000316","127.0.0.1","127.0.0.1","TCP","156","0.000185000","59137  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=100 TSval=1440343215 TSecr=1440343215 [TCP segment of a reassembled PDU]"
"1107","0.000244","127.0.0.1","127.0.0.1","TCP","162","0.000054000","59138  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=106 TSval=1440343215 TSecr=1440343215 [TCP segment of a reassembled PDU]"
"1117","0.000174","127.0.0.1","127.0.0.1","TCP","169","0.000035000","59139  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=113 TSval=1440343216 TSecr=1440343216 [TCP segment of a reassembled PDU]"
"1127","0.000353","127.0.0.1","127.0.0.1","TCP","160","0.000036000","59140  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440343216 TSecr=1440343216"
"1137","0.000262","127.0.0.1","127.0.0.1","TCP","158","0.000041000","59141  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440343216 TSecr=1440343216"
"1147","0.000232","127.0.0.1","127.0.0.1","TCP","149","0.000048000","59142  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=93 TSval=1440343216 TSecr=1440343216"
"1157","0.000189","127.0.0.1","127.0.0.1","TCP","184","0.000045000","59143  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=128 TSval=1440343217 TSecr=1440343217"
"1167","0.000171","127.0.0.1","127.0.0.1","TCP","155","0.000032000","59144  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=99 TSval=1440343217 TSecr=1440343217"
"1177","0.000264","127.0.0.1","127.0.0.1","TCP","163","0.000039000","59145  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=107 TSval=1440343217 TSecr=1440343217"
"1187","0.000152","127.0.0.1","127.0.0.1","TCP","169","0.000019000","59146  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=113 TSval=1440343217 TSecr=1440343217"
"1197","0.000286","127.0.0.1","127.0.0.1","TCP","159","0.000057000","59147  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=103 TSval=1440343217 TSecr=1440343217 [TCP segment of a reassembled PDU]"
"1207","0.000193","127.0.0.1","127.0.0.1","TCP","157","0.000044000","59148  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=101 TSval=1440343218 TSecr=1440343218 [TCP segment of a reassembled PDU]"
"1216","0.000140","127.0.0.1","127.0.0.1","TCP","150","0.000041000","59149  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=94 TSval=1440343218 TSecr=1440343218 [TCP segment of a reassembled PDU]"
"1227","0.000169","127.0.0.1","127.0.0.1","TCP","185","0.000026000","59150  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=129 TSval=1440343218 TSecr=1440343218 [TCP segment of a reassembled PDU]"
"1237","0.000187","127.0.0.1","127.0.0.1","TCP","156","0.000039000","59151  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=100 TSval=1440343218 TSecr=1440343218 [TCP segment of a reassembled PDU]"
"1247","0.000159","127.0.0.1","127.0.0.1","TCP","162","0.000030000","59152  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=106 TSval=1440343218 TSecr=1440343218 [TCP segment of a reassembled PDU]"
"1258","5.187572","127.0.0.1","127.0.0.1","TCP","160","0.000171000","59153  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=104 TSval=1440348401 TSecr=1440348401"
"1267","0.000208","127.0.0.1","127.0.0.1","TCP","158","0.000040000","59154  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=102 TSval=1440348401 TSecr=1440348401"
"1277","0.000197","127.0.0.1","127.0.0.1","TCP","149","0.000041000","59155  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=93 TSval=1440348401 TSecr=1440348401"
"1287","0.000277","127.0.0.1","127.0.0.1","TCP","184","0.000040000","59156  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=128 TSval=1440348402 TSecr=1440348402"
"1297","0.000201","127.0.0.1","127.0.0.1","TCP","155","0.000052000","59157  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=99 TSval=1440348402 TSecr=1440348402"
"1307","0.000234","127.0.0.1","127.0.0.1","TCP","163","0.000079000","59158  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=107 TSval=1440348402 TSecr=1440348402"
"1317","0.000209","127.0.0.1","127.0.0.1","TCP","169","0.000048000","59159  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=113 TSval=1440348402 TSecr=1440348402"
"1327","0.000262","127.0.0.1","127.0.0.1","TCP","143","0.000054000","59160  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1440348403 TSecr=1440348403"
