"No.","Time","Source","Destination","Protocol","Length","Time since previous frame in this TCP stream","Info"
"856","0.000016","127.0.0.1","127.0.0.1","TCP","144","0.000091000","56997  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654673 TSecr=1426654673 [TCP segment of a reassembled PDU]"
"870","0.000215","127.0.0.1","127.0.0.1","TCP","144","0.000043000","56999  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654673 TSecr=1426654673"
"871","0.000010","127.0.0.1","127.0.0.1","TCP","143","0.000049000","56998  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426654673 TSecr=1426654673"
"888","0.000212","127.0.0.1","127.0.0.1","TCP","144","0.000053000","57001  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654673 TSecr=1426654673"
"895","0.000125","127.0.0.1","127.0.0.1","IRC","143","0.000174000","Response ({""src"":)"
"914","0.000524","127.0.0.1","127.0.0.1","TCP","142","0.000520000","57002  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426654674 TSecr=1426654673"
"926","0.000404","127.0.0.1","127.0.0.1","TCP","144","0.000196000","57003  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654674 TSecr=1426654674"
"942","0.000965","127.0.0.1","127.0.0.1","TCP","144","0.000224000","57004  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654675 TSecr=1426654675 [TCP segment of a reassembled PDU]"
"950","0.000323","127.0.0.1","127.0.0.1","TCP","144","0.000064000","57005  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654675 TSecr=1426654675 [TCP segment of a reassembled PDU]"
"960","0.000249","127.0.0.1","127.0.0.1","TCP","142","0.000052000","57006  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426654676 TSecr=1426654676 [TCP segment of a reassembled PDU]"
"970","0.000278","127.0.0.1","127.0.0.1","TCP","144","0.000049000","57007  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654676 TSecr=1426654676"
"980","0.000204","127.0.0.1","127.0.0.1","TCP","144","0.000043000","57008  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426654676 TSecr=1426654676"
"990","0.000218","127.0.0.1","127.0.0.1","TCP","142","0.000046000","57009  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=86 TSval=1426654676 TSecr=1426654676"
"1000","4.072398","127.0.0.1","127.0.0.1","TCP","144","0.000342000","57010  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658737 TSecr=1426658737 [TCP segment of a reassembled PDU]"
"1010","0.000278","127.0.0.1","127.0.0.1","TCP","141","0.000036000","57011  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426658737 TSecr=1426658737 [TCP segment of a reassembled PDU]"
"1020","0.000191","127.0.0.1","127.0.0.1","TCP","144","0.000040000","57012  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658738 TSecr=1426658738 [TCP segment of a reassembled PDU]"
"1030","0.000214","127.0.0.1","127.0.0.1","TCP","144","0.000037000","57013  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658738 TSecr=1426658738 [TCP segment of a reassembled PDU]"
"1041","0.000197","127.0.0.1","127.0.0.1","TCP","144","0.000036000","57014  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658738 TSecr=1426658738"
"1050","0.000131","127.0.0.1","127.0.0.1","TCP","145","0.000055000","57015  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658738 TSecr=1426658738"
"1062","0.000128","127.0.0.1","127.0.0.1","TCP","141","0.000114000","57016  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=85 TSval=1426658738 TSecr=1426658738"
"1066","0.000084","127.0.0.1","127.0.0.1","TCP","145","0.000091000","57017  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658738 TSecr=1426658738"
"1082","0.000322","127.0.0.1","127.0.0.1","TCP","143","0.000188000","57018  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658739 TSecr=1426658739"
"1092","0.000144","127.0.0.1","127.0.0.1","TCP","144","0.000235000","57019  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658739 TSecr=1426658739"
"1102","0.000242","127.0.0.1","127.0.0.1","TCP","143","0.000253000","57020  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=87 TSval=1426658739 TSecr=1426658739"
"1115","0.000288","127.0.0.1","127.0.0.1","TCP","144","0.000332000","57021  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658739 TSecr=1426658739"
"1120","0.000092","127.0.0.1","127.0.0.1","TCP","144","0.000225000","57022  >  8081 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=88 TSval=1426658739 TSecr=1426658739"
"1129","0.000350","127.0.0.1","127.0.0.1","TCP","145","0.000138000","57023  >  8082 [PSH, ACK] Seq=1 Ack=1 Win=408256 Len=89 TSval=1426658740 TSecr=1426658740"
